product_id,brand,product,category,subcategory,price,size,image,no_of_reviews,about_the_product,ingredients,how_to_use
pimprod2043986,OLEHENRIKSEN,Banana Bright+ Instant Glow Moisturizer with Vitamin C and Niacinamide,Moisturizers,Face Moisturizer,$52.00,1.7 oz,https://media.ulta.com/i/ulta/2621630?w=100&h=100&fmt=auto,423 Reviews,"Benefits
One-step makeup prep and clinical brightening in every jar: This lightweight, ultra-hydrating moisturizer instantly illuminates and brightens over time, firms, visibly reduces fine lines and wrinkles and preps skin for smoother makeup application, while giving skin an effortlessly warm, golden glow.
Key Ingredients
Gold-Complexed Vitamin C: enhances brightness and elasticity
Niacinamide: brightens and reduces the look of dark spots
Hyaluronic & Polyglutamic Acid: bind moisture and plump skin with hydration
Scandinavian Cloudberry Seed Oil: nourishes and conditions skin
Research Results
In an 8-week clinical study on 35 people:
Instantly brightens + 30% brighter skin over time
Plumps skin with 24-hour hydration
100% of people had improved fine lines and wrinkles after 4 weeks","Aqua/Water/Eau, Glycerin, Cetyl Ethylhexanoate, Propanediol, Cetyl Alcohol, 3-O-Ethyl Ascorbic Acid, Niacinamide, Steareth-21, Dicaprylyl Carbonate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ammonium Acryloyldimethyltaurate/Vp Copolymer, 1,2-Hexanediol, Synthetic Beeswax, Tetrahexyldecyl Ascorbate, Ascorbic Acid, Colloidal Gold, Polyglutamic Acid, Sodium Hyaluronate, Rubus Chamaemorus Seed Oil, Hydrolyzed Vegetable Protein, Glutathione, Tocopherol, Tocopheryl Acetate, Jojoba Esters, Riboflavin, Cyanocobalamin, Leuconostoc/Radish Root Ferment Filtrate, Cetearyl Olivate, Sorbitan Olivate, Ethylhexylglycerin, Sorbitan Isostearate, Sorbitol, Sodium Phytate, Citric Acid, Caprylyl Glycol, Dimethicone, Xanthan Gum, Polysorbate 60, Sodium Citrate, Sodium Hydroxide, Phenoxyethanol, Pentaerythrityl Tetraethylhexanoate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Mica, Tin Oxide, Parfum/Fragrance, Citral, Limonene, Linalool, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491).","Apply evenly to face and neck daily.
Gently massage in an upward, circular motion.
For external use only. Use as directed.
Do not use if allergic to vitamin C or any other ingredient in this formula.
If irritation occurs, discontinue use."
pimprod2046622,DIME,The Works Discovery Set,By Category,Skin Gifts,$49.00,,https://media.ulta.com/i/ulta/2627477?w=800&h=800&fmt=auto,58 Reviews,"Benefits
Removes dirt, oil, and impurities
Clean, EWG VERIFIED® formulas that work
Includes
Gentle Jelly Cleanser (2.0 oz)
Restorative Night Cream (0.5 oz)
Super Skin Toner (2.0 oz)
Hyper Glow Serum (0.33 oz)
Dewy Day Cream (0.5 oz)
Hyaluronic Acid Serum (0.33 oz)","Gentle Jelly Cleanser: Water, Decyl Glucoside, Coco Glucoside, Glycerin, Glyceryl Oleate, Hydrolyzed Wheat Protein, Xanthan Gum, Citric Acid, Strawberry Oil, Solanum Lycopersicum (Tomato) Fruit Extract, Tocopherol, Phenylpropanol, Ethylhexylglycerin
Super Skin Toner: Water, Hamamelis Virginiana (Witch Hazel) Extract, Propanediol, Glycerin, Hyaluronic Acid, Ubiquinone, Tocopherol, Ascorbyl Tetraisopalmitate, Aloe Barbadensis (Aloe Vera) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Salvia Officinalis (Sage) Extract, Cucumis Sativus (Cucumber) Fruit Extract, Citrus Sinensis (Blood Orange) Fruit Extract, Phenoxyethanol, Ethylhexylglycerin
Hyper Glow Serum: Water, L-Ascorbic Acid, Ethoxydiglycol, Aloe Barbadensis (Aloe Vera) Juice, Glycerin, Hyaluronic Acid, Sodium Metabisulfate, Tocopherol, Ferulic Acid, Lecithin, Bitis Vinifera (Grape) Seed Extract, Resveratrol, Magnolia Officinalis (Magnolia) Bark Extract, Citrus Sinensis (Blood Orange) Fruit Extract, Xanthan Gum, Phenoxyethanol, Lecithin, Sodium Hydroxide, Ethylhexylglycerin
Dewy Day Cream: Water, Ethylhexyl Olivate, Cetearyl Alcohol, Glycerin, Isononyl Isononanoate, Pentylene Glycol, Glyceryl Stearate, 1,2 Hexanediol, Squalane, Vitis Vinifera (Grape) Seed Oil, Caprylic/Capric Triglyceride, Sodium Stearoyl Lactylate, Hydroxyacetophenone, Olea Europaea (Olive) Fruit Unsaponifiables, Xanthan Gum, Behenyl Alcohol, Carbomer, Rosa Moschata Seed Oil, Linoleic Acid, Phospholipids, Phytosterols, Tetrasodium Glutamate Diacetate, Betaine, Chamomilla Recutita (Matricaria) Flower Extract, Ceramide NP, Sodium Hyaluronate, Glycolipids, Tremella Fuciformis Sporocarp Extract, Soybean Phytosterols, Aloe Barbadensis Leaf Juice
Restorative Night Cream: Water, Glycerin, Cetearyl Alcohol, Ethylhexyl Olivate, Isononyl Isononanoate, Glyceryl Stearate, Pentylene Glycol, 1,2 Hexanediol, Behenyl Alcohol, Simmondsia Chinensis (Jojoba) Seed Oil, Squalane, Sodium Stearoyl Lactylate, Hydroxyacetophenone, Caprylic/Capric Triglyceride, Butyrospermum Parkii (Shea) Butter, Carbomer, Xanthan Gum, Camellia Oleifera Seed Oil, Olea Europaea (Olive) Fruit Unsaponifiables, Stearyl Glycyrrhetinate, Tetrasodium Glutamate Diacetate, Linoleic Acid, Phospholipids, Phytosterols, Ceramide NP, Hydroxypropyl Cyclodextrin, Sodium Hyaluronate, Glycolipids, Soybean Phytosterols, Aloe Barbadensis Leaf Juice, Hippophae Rhamnoides Fruit Oil, Palmitoyl Tripeptide-38.","In the morning, apply Gentle Jelly Cleanser, Super Skin Toner, 3-4 drops of the Hyper Glow Serum, and then Dewy Day Cream.
At night, apply Gentle Jelly Cleanser, Super Skin Toner, 3-4 drops of the Hyaluronic Acid Serum, and then Restorative Night Cream. For best results, use daily.
As a Conscious Beauty brand, DIME features sustainable packaging. Once product is empty, twist off cap, rinse bottle/jar, and toss into recycling bin."
pimprod2021089,Clinique,Clinique Smart Night Clinical MD Multi-Dimensional Repair Treatment Retinol Serum,Treatment & Serums,Face Serums,$79.00,1.0 oz,https://media.ulta.com/i/ulta/2572793?w=100&h=100&fmt=auto,111 Reviews,"Benefits
All Skin Types.
Powered by 0.3% retinol, this creamy formula sinks in to help speed up cell turnover.
Visibly reduces fine lines and wrinkles.
Skin tone looks more even, radiant.
Pores look minimized.
Delivers instant and lasting hydration, which helps comfort skin and offset dryness sometimes associated with retinol.*
*Tolerance to retinol varies by person.
What you should know about retinol:
Retinol is an extremely effective and powerful anti-aging ingredient. You may experience mild redness, a warm, tingling sensation, or ﬂaking (skin exfoliation). These conditions are normal, temporary indications that the formula is working.
If you experience increased discomfort when using this product, revert to once every other night until skin adjusts. This adjustment can take up to 4 weeks.
First time users and those with drier skin types may want to use this product every other night for more than 2 weeks to give skin additional time to adjust.
For added comfort, use a mild cleanser and layer an additional moisturizer over this product.
Limit sun exposure in general. Be sure to apply a sunscreen of SPF15 or higher during the day while using this product, and one week after stopping use of it. Note that extreme weather conditions such as wind or cold may be more irritating, so take the proper precautions to protect your face.
Paraben-free. Phthalate-free.
No Denatured alcohol. No Synthetic colors.
SLS-free. SLES-free. Sulfate-free.
Dermatologist tested.
Allergy tested. Fragrance-free.
Key Ingredients
Retinol (0.3%): A pure form of Vitamin A, it's an effective anti-aging ingredient known to help visibly reduce lines and wrinkles, minimize the appearance of pores, and smooth and refine texture.
Youth-Boosting Blend: Helps skin look smoother. Includes acetyl hexapeptide-8, niacinamide, sigesbeckia extract, and ascorbic acid.
Comforting Hydrator Blend: Helps infuse skin with hydration. Includes hyaluronic acid, mango seed butter, wheat and barley extract, coffee seed oil, squalane, and vitamin E.
Research Results
Clinical Testing:
Restores radiance with 1 use.
Minimizes the appearance of pores in 7 days.
Skin feels smoother in 28 days/4 weeks.
Improves evenness of skin tone in 8 weeks.
Retexturizes skin in 12 weeks.
Provides instant and lasting hydration.
With continued use, visibly reduces lines and wrinkles.","Water\Aqua\Eau, Caprylic/Capric Triglyceride, PPG-15 Stearyl Ether, C12-20 Acid PEG-8 Ester, Glycerin, Niacinamide, Phenyl Trimethicone, Caprylic/Capric/Myristic/Stearic Triglyceride, Algae Extract, Dimethicone, Hydroxyethyl Urea, Cetyl Alcohol, Retinol, Sigesbeckia Orientalis (St. Paul'S Wort) Extract, Mangifera Indica (Mango) Seed Butter, Coffea Arabica (Coffee) Seed Oil, Sodium Hyaluronate, Caffeine, Ascorbic Acid, Urea, Butylene Glycol, Squalane, Trehalose, Triticum Vulgare (Wheat) Germ Extract, Tocopheryl Acetate, PEG-100 Stearate, Linoleic Acid, Glyceryl Stearate, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Acetyl Hexapeptide-8, Sorbitol, Potassium Cetyl Phosphate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tocopherol, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Behenyl Alcohol, Sodium Pca, Sodium Hydroxide, Caprylyl Glycol, Carbomer, Triacetin, Polyquaternium-51, Xanthan Gum, BHT, Disodium EDTA, Sodium Metabisulfite, Chlorphenesin, Potassium Sorbate, Phenoxyethanol.
Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.","Apply pea size amount (0.25g) of retinol at night. Avoid eye area. Tip: For first two weeks, use every other night, then nightly. Use sunscreen and limit sun exposure while using and the week after. Do not use with other retinol products, such as Clinique Fresh Pressed Overnight Booster with Pure Vitamin A (Retinol).
To help optimize the results of retinol, we suggest using as part of a regimen with other anti-aging products, such as:
In AM: Clinique Smart Custom-Repair Serum + Clinique Smart SPF 15 Custom-Repair Moisturizer
In PM: Clinique Smart Custom-Repair Serum + Clinique Smart Night Retinol + Clinique Smart Clinical MD Resculpt or Revolumize or Clinique Smart Night Custom-Repair Moisturizer (for added comfort if needed)."
pimprod2050546,Shark Beauty,CryoGlow Under-Eye Cooling+LED Anti-Aging & Skin Clearing Face Mask,Skincare Tools,Anti-Aging,$349.99,,https://media.ulta.com/i/ulta/2631334?w=100&h=100&fmt=auto,55 Reviews,"Features
Better Aging Treatment: A 6-minute treatment utilizing Red & Infrared LEDs aimed at minimizing fine lines, and firming sagging skin*. *Results from 12-week clinical study with 60 subjects and 1x/day use in Better Aging treatment mode. Individual results may vary.
Skin Clearing Treatment: Experience chemical-free acne-clearing with an 8-minute Blue & Infrared and Red LED session to reduce acne & redness for a more even and clear complexion**.
Skin Sustain Treatment: Enhance and sustain your glow with 4-minute sessions of red, blue, & infrared LEDs to enhance skin radiance and preserve optimal skin condition.
Under-Eye Revive Treatment: Enjoy an adjustable 5-15 minute under-eye cooling treatment for temp-controlled soothing & visible tightening powered by InstaChill Cold technology.
iQLED Technology™: Precise tri-wick LED sequencing beams energy between the layers of the skin for an effective, seamless coverage, without gaps or hot spots.
InstaChill Cold Technology: Cryo-inspired integrated cooling helps visibly tighten under-eyes in one use with 3 temperature-controlled chill levels.
Developed with Skincare experts: Developed with Dermatologists, backed by clinical testing, and FDA cleared.
**Results from 12-week clinical study with 59 subjects and 1x/day use in Skin Clearing treatment mode. Individual results may vary.",,"Start with a clean, dry face. Put on mask and adjust straps for comfort.
Turn on the mask by pressing and holding the remote's center dial.
Select a routine and press ""Start."" Adjust InstaChill with the remote's chill button.
After the session, remove the mask. It will power down automatically.
Clean the mask with a cloth slightly dampened with water.
IMPORTANT SAFETY INFORMATION: See packaging for more details."
pimprod2044325,Coco & Eve,Tan Boosting Anti-Aging Body Oil SPF20,Suncare,Sunscreen,$36.00,5.07 oz,https://media.ulta.com/i/ulta/2623610?w=100&h=100&fmt=auto,59 Reviews,"Benefits
Tan boosting and anti-aging body SPF20 sunscreen
Lightweight oil and easy to absorb, non-greasy finish
Rich in antioxidants and deeply nourishing
Perfect for a radiant, youthful tan all summer long
Key Ingredients
SPF 20 broad spectrum UVA and UVB protection against photoaging, UV rays and sun damage
A tan-boosting biomimetic peptide that increases tanning effectiveness by 41% (without self tanning DHA)
Apricot Kernal oil, rich and nourishing, easily absorbed and is suitable for all skin types.","Active: Homosalate 15%, Octocrylene 10%, Octisalate 5%, Avobenzone 3%.
Inactive: Ethylhexyl Palmitate, Diethylhexyl 2,6-Naphthalate, VP/Eicosene Copolymer, Isopropyl Palmitate, Caprylic/Capric Triglyceride, Coco-Caprylate, C13-15 Alkane, Prunus Armeniaca (Apricot) Kernel Oil, Helianthus Annuus (Sunflower) Seed Oil, Citrullus Lanatus (Watermelon) Seed Oil, Psidium Guajava Fruit Extract, Ananas Sativus (Pineapple) Fruit Extract, Theobroma Cacao (Cocoa) Seed Extract, Acetyl Hexapeptide-1, Tocopherol, Lecithin, Diethylhexyl Syringylidenemalonate, Fragrance, Water.","Apply generously an even layer all over body 20 minutes before sun exposure. Reapply frequently especially after swimming, sweating.
Precautions: For external use only. Store below 86 F and avoid direct sunlight. Do not use on damaged or broken skin. Stop use and ask a doctor if rash occurs. Keep out of reach of children. When using this product keep out of eyes. Rinse with water to remove."
pimprod2014019,Clinique,Superdefense City Block Broad Spectrum SPF 50 Daily Energy + Face Protector Primer,Suncare,Sunscreen,$40.00,1.4 oz,https://media.ulta.com/i/ulta/2560146?w=100&h=100&fmt=auto,300 Reviews,"Benefits
All Skin Types.
Daily SPF protector works all day to defend and awaken skin.
Sheer, weightless, quick-absorbing, and oil-free.
Stop Signs Technology prevents signs of aging by combating a full spectrum of modern environmental aggressors including UVA/UVB and other skin irritants.
Sunscreen ingredients such as titanium dioxide, zinc, and octinoxate provide protection against UV rays (UVA & UVB).
Dermatologist tested.
Allergy tested.
Formulated Without
Parabens
Phthalates
Oil
Alcohol
Synthetic colors
SLS
Fragrance","Active: Octinoxate 5.0%, Titanium Dioxide 3.2%, Zinc Oxide 3.6%. Inactive: Water\Aqua\Eau, Dimethicone, Butyloctyl Salicylate, Isononyl Isononanoate, Neopentyl Glycol Diheptanoate, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Butylene Glycol, Polydecene, Polyhydroxystearic Acid, Ethylhexyl Methoxycrylene, Hydrated Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Trimethylsiloxysilicate, Hydrolyzed Wheat Protein/Pvp Crosspolymer, Hydroxyapatite, Cetyl PEG/PPG-10/1 Dimethicone, Dimethicone/PEG-10/15 Crosspolymer, Sodium Rna, Quaternium-90 Bentonite, Sodium Hyaluronate, Dimethicone Crosspolymer-3, Styrene/Acrylates Copolymer, Sodium Chloride, Caprylyl Glycol, PEG-8 Laurate, Propylene Carbonate, Silica, Tocopherol, Sodium Citrate, Disodium EDTA, BHT, Phenoxyethanol, Potassium Sorbate, Iron Oxides (CI 77491), Iron Oxides (CI 77492).
Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",Apply SPF in AM after all treatment products and before makeup.
pimprod2043475,Tree Hut,Sugarlips Lip Butter,Lips,Lip Balms & Treatments,$6.99,Strawberry,https://media.ulta.com/i/ulta/2621334?w=100&h=100&fmt=auto,74 Reviews,"Benefits
This ultra-hydrating lip treatment instantly locks in moisture for a supple, soft pout
Tree Hut's Sugarlips Lip Butter is paraben-free, sulfate-free, contains no formaldehyde donors and has a smooth, rich, non-sticky formula to create a protective barrier for pillow-soft lips
Key Ingredients
Strawberry Extract helps improve overall brightness while protecting skin from pollutants
Shea Butter is known to deeply moisturize, nourish and soften dry, lips while helping to promote elasticity","Polyisobutene, Microcrystalline Wax, Diisostearyl Malate, Hydrogenated Polydecene, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Polyethylene, Dimethicone, Flavor (Aroma), Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, Rosa Canina Fruit Oil, Sucrose, Aluminum Hydroxide, Water/Aqua/Eau, 1,2-Hexanediol, Melia Azadirachta Leaf Extract, Fragaria Ananassa (Strawberry) Fruit Extract, Red 6 Lake (CI 15850), Yellow 5 Lake (CI 19140), Iron Oxide (CI 77499).","Using a light amount, swipe gently onto lips. Use directly after using our Tree Hut Sugarlips Lip Scrub to provide your lips ample hydration."
pimprod2036708,TULA,24-7 Moisture Intense Ultra Hydrating Day & Night Cream,Moisturizers,Face Moisturizer,$58.00,1.48 oz,https://media.ulta.com/i/ulta/2603052?w=100&h=100&fmt=auto,255 Reviews,"Benefits
Soothes skin, maintains skin balance & improves skin smoothness
Hydrates & helps smooth the look of fine lines & wrinkles
Helps skin look more even & firm
Ultra nourishing for intense hydration
Provides antioxidant protection
Key Ingredients
S6Pro Complex: helps improve skin smoothness & maintain skin balance
MoistureLock Pressed Oil Blend: a nourishing oil blend to provide intense hydration
Apple & Watermelon & Peptides: hydrate & help smooth the look of fine lines & wrinkles
Hyaluronic Acid, Squalane & Collagen: help nourish skin
Contains milk proteins. Does not contain live cultures.
Research Results
Clinically proven to lock in moisture**
Clinically proven to strengthen skin barrier**
96% agreed this moisturizer deeply hydrates skin***
** Instrumental test on 31 subjects during 4 weeks
***Self assessment test on 31 subjects after 1 week; 4 weeks","Aqua/Water/Eau, Butylene Glycol, Ethylhexyl Palmitate, Squalane, Glycerin, Cetyl Alcohol, Caprylic/Capric Triglyceride, Dimethicone, Hydrogenated Vegetable Oil, Glyceryl Stearate, PEG 100 Stearate, Bifida Ferment Lysate, Lactose, Lactis Proteinum/Milk Protein/Protéine du lait, Yogurt Extract, Hydrolyzed Rice Protein, Cichorium Intybus (Chicory) Root Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Olus/Vegetable Oil/Huile végétale, Camelina Sativa Seed Oil, Camellia Sinensis Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Tocopheryl Acetate, Ascorbyl Palmitate, Carthamus Tinctorius (Safflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Pyrus Malus (Apple) Fruit Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Sodium Lactate, Sodium PCA, Carbomer, Sodium Hydroxide, Pentylene Glycol, Caprylyl Glycol, Bulnesia Sarmientoi Wood Oil, Citrus Limon (Lemon) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Juniperus Mexicana Oil, Cananga Odorata Flower Oil, Ethylhexylglycerin, Stearyl Alcohol, Disodium EDTA, Citric Acid, Sorbic Acid, Phenethyl Alcohol, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Parfum/Fragrance, Alpha-Isomethyl Ionone, Butylphenyl Methylpropional, Linalool, Hexyl Cinnamal.",Apply cream on clean skin or after serum. Use daily AM & PM.
pimprod2049083,TATCHA,Moisturizer Favorites: Dewy Cream & Water Cream Value Set,By Category,Skin Gifts,$34.00,,https://media.ulta.com/i/ulta/2634115?w=100&h=100&fmt=auto,6 Reviews,"Key Ingredients
The Dewy Skin Cream:
Hyaluronic Acid + Red Algae + Hadasei-3: attract moisture to plump & hydrate skin
Biomimetic Squalane: seals in moisture to keep skin hydrated longer
Japanese Purple Rice: protects skin from free radical damage like wrinkles
The Water Cream:
BHA-Alternative + Hadasei-3: visibly reduces pore count‡ & smooths
Multi-Weight Glycerin: triples skin hydration & improves skin barrier
Wild Rose + Heartleaf: visibly tightens pores and soothes
‡in-vivo test on ingredient with image analysis
Research Results
The Dewy Skin Cream:
3x instant hydration*
100% showed immediate improvement in skin plumpness, suppleness,and radiance**
88% showed a visible improvement in dry fine lines after 2 weeks**
86% agreed this product works well with makeup after 1 week**
*based on a bio-instrumentation study of 30 panelists
**based on a clinical study of 36 panelists
The Water Cream:
3x Hydration Instantly & 72-Hour Hydration*
97% showed improvement in clogged and enlarged pores after 1 week**
100% showed a reduction in oil after 1 week†
*based on a bio-instrumentation study of 27 panelists
**based on a clinical study of 36 panelists
†based on a bio-instrumentation study of 36 panelists
Includes
The Dewy Skin Cream (0.5 oz)
The Water Cream (0.5 oz)","The Dewy Skin Cream: Aqua/Water/Eau, Saccharomyces/Rice Ferment Filtrate, Glycerin, Propanediol, Dimethicone, Squalane, Diisostearyl Malate, Behenyl Alcohol, Myristyl Myristate, Dipentaerythrityl Hexahydroxystearate, Bis-Diglyceryl Polyacyladipate-2, Tridecyl Trimellitate, Inositol, Sorbitan Tristearate, Beheneth-20, Camellia Sinensis Leaf Extract, Cladosiphon Okamuranus Extract, Chondrus Crispus Extract, Betaphycus Gelatinum Extract, Oryza Sativa (Rice) Bran Extract, Panax Ginseng Root Extract, Origanum Majorana Leaf Extract, Thymus Serpyllum Extract, Malva Sylvestris (Mallow) Flower Extract, Sodium Hyaluronate, Gold, Sericin, Phytosteryl Macadamiate, Tocopherol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sorbitan Isostearate, Polysorbate 60, Butylene Glycol, Dimethicone/Vinyl Dimethicone Crosspolymer, Sodium Benzoate, Gluconolactone, Ethylhexylglycerin, Parfum/Fragrance, Alcohol, Phenoxyethanol, Citral, Limonene, Linalool, Mica, Tin Oxide, Titanium Dioxide (Ci 77891), Violet 2 (Ci 60725)
The Water Cream: Aqua/Water/Eau, Saccharomyces/Rice Ferment Filtrate, Dimethicone, Propanediol, Glycerin, Diglycerin, Diphenylsiloxy Phenyl Trimethicone, Camellia Sinensis Leaf Extract, Cladosiphon Okamuranus Extract, Peg-9 Polydimethylsiloxyethyl Dimethicone, Gold, Belamcanda Chinensis Root Extract, Rosa Multiflora Fruit Extract, Houttuynia Cordata Extract, Sophora Angustifolia Root Extract, Sodium Hyaluronate, Lecithin, Pistacia Lentiscus (Mastic) Gum, Sodium Chloride, Sodium Citrate, Mica, Tin Oxide, Dimethicone/Peg-10/15 Crosspolymer, Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer, Tocopherol, Butylene Glycol, Ethylhexylglycerin, Dipropylene Glycol, Parfum/Fragrance, Alcohol, Phenoxyethanol, Limonene, Linalool, Titanium Dioxide (Ci 77891)","The Dewy Skin Cream: Scoop desired amount onto face, neck, and décolletage, morning and night. Massage in with upward strokes until fully absorbed into skin.
The Water Cream: Scoop desired amount onto face, neck, and décolletage, morning and night. Massage in with upward strokes until fully absorbed into skin."
pimprod2049857,BYOMA,Ultra-Lightweight Face Fluid SPF 50,Moisturizers,Face Moisturizer,$19.99,1.69 oz,https://media.ulta.com/i/ulta/2635400?w=100&h=100&fmt=auto,285 Reviews,"Benefits
Broad spectrum UVB/UVA protection
Antioxidant properties to fight free radicals
Restores the skin barrier
Blends quickly and seamlessly onto any skin tone
Zero greasiness or white cast
Works seamlessly under makeup
Clinically proven to decrease skin sensitivity after one use
Clinically proven to provide instant moisturization of up to 71%
Clinically proven to brighten skin + reduce pigmentation
Clinically proven to maintain + protect skin barrier
Features
Dermatologist tested + approved skincare
Alcohol & fragrance-free
Key Ingredients
CERASUN COMPLEX to restore the skin barrier while alleviating redness caused by UV exposure
BISABOLOL soothes and calms irritation
ASTHAXANTHIN (which naturally tints the formula pink) delivers antioxidant protection 6000x more powerful than Vitamin C and helps to brighten the skin.","Active: Avobenzone 3%, Homosalate 7%, Octisalate 5%, Octocrylene 9%
Inactive: Water/Aqua/Eau, Butyloctyl Salicylate, Glycerin, Dicaprylyl Carbonate, Diisopropyl Adipate, Sodium Stearoyl Glutamate, Cocoglycerides, Propanediol, Microcrystalline Cellulose, Tocopherol, Bisabolol, Caprylyl Glycol, Ethyl Ferulate, Sodium Hyaluronate, Glyceryl Stearate SE, Methylheptylglycerin, Sodium Gluconate, Caprylhydroxamic Acid, Xanthan Gum, Phospholipids, Cellulose Gum, Citric Acid, Glycolipids, Olea Europaea (Olive) Fruit Oil, Aloe Barbadensis Leaf Juice, Phosphatidylserine, Astaxanthin, Ceramide NP, Cholesterol, Hydrogenated Lecithin, Oleic Acid, Phytosphingosine, Haematococcus Pluvialis Extract, Caprylic/Capric Triglyceride, Stearic Acid, Sodium Benzoate, Potassium Sorbate, 1,2-Hexanediol, Beta-Glucan, Lactic Acid.","Apply generously and evenly 15 minutes before sun exposure. Re-apply frequently to maintain protection, especially after perspiring, swimming or toweling.
Precautions: Eye irritant."
