product_id,brand,product,category,subcategory,price,size,image,no_of_reviews,about_the_product,ingredients,how_to_use
P446638,Dermalogica,Power Cleanse Duo,Value & Gift Sets,,$19.00,,,,,,
P504026,MARA,Mini Algae + Moringa® Universal Face Oil,Moisturizers,Face Oils,$40.00,Size: 0.5 oz / 15 mL,https://www.sephora.com/productimages/sku/s2633170-main-zoom.jpg?pb=clean-planet-aware&imwidth=160,319,"Item 2633170
What it is: A hydrating face oil, for all skin types, with algae, plankton, and four superfoods to visibly plump, firm, and hydrate for glowing skin.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Fine Lines and Wrinkles, Dryness, and Dullness

Formulation: Oil

Highlighted Ingredients:
- Proprietary, Wild Collected Algae Blend: Visibly plumps, softens look of wrinkles, and hydrates.
- Moringa: Contains 90+ nutrients and 46 antioxidants for mega moisture and glow.
- Watermelon: Hydrates dry skin with fatty acids and vitamins.

Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: This face oil is packed with vitamins A, B, C, D E, and F, plus fatty acids and phytonutrients to support a healthy skin barrier and bouncy, dewy skin. The proprietary algae provide essential nutrients and wards off free radicals, while moringa, baobab, and watermelon drench skin in moisture.




Products formulated without certain ingredients, including parabens, sulfates, phthalates, and mineral oils, from brands that have met our specific criteria for ingredient sourcing and formulation, packaging, environmental commitments, and consumer transparency. Learn more here.
Show less","-Proprietary Wild-Collected Algae Blend: Visibly plumps, softens look of wrinkles, and hydrates.
-Moringa: Contains over 90 nutrients and 46 antioxidants for mega moisture and glow.
-Watermelon: Hydrates dry skin with fatty acids and vitamins.

Moringa Oleifera Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Linum Usitatissimum (Linseed) Seed Oil, Vaccinium Myrtillus Seed Oil, Caprylic/Capric Triglyceride, Citrullus Lanatus (Watermelon) Seed Oil, Adansonia Digitata Seed Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Amara (Bitter Orange) Peel Oil, Alaria Esculenta Extract, Plankton Extract, Tocopherol, Limonene, Linalool, Farnesol, Geraniol.

The list of ingredients is subject to change. Please consult the packaging of the product purchased.","Suggested Usage:
-Use morning and night.
-Apply to clean skin.
-Can be used alone, or on top of serums and creams.
-Can be mixed with makeup for a glowing finish.

Recycling Instructions:
-Separate glass bottle and dropper.
-Clean and recycle glass bottle.
-For dropper, gently pull silicone part from cap and pipette.
-Gently pull pipette and silicone bulb apart.
-Place silicone bulb in trash, recycle glass pipette and aluminum collar."
P511399,Luna Daily,"The Skin Support Oil - For Stretch Marks, Hyperpigmentation & Uneven Skin Texture",Body Moisturizers,,$46.00,Size: 3.38 oz / 100 ml,https://www.sephora.com/productimages/sku/s2766392-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,222,"Item 2766392
What it is: A body oil that reduces the appearance of stretch marks and hyperpigmentation.

Skin Type: Normal, Dry, Combination, and Oily

Highlighted Ingredients:
- Kahai Oil®: Clinically shown to visibly reduce scarring and discoloration.
- Vitamin C: Supports natural collagen production and cell renewal.
- Arnica Extract: Reduces redness and soothes skin.

Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: This daily body oil improves the appearance of stretch marks, hyperpigmentation, and skin texture for smooth, firm, hydrated skin. It includes breakthrough Kahai Oil®, which is clinically shown to reduce visible scarring and discoloration, containing 50-percent more vitamin E than argan oil.

Clinical Results: Independent clinical user trial of 50 women:
- 92% agree skin felt healthy, rejuvenated, and hydrated
- 90% agree it improved uneven skin tone and skin felt supple
- 84% agree it reduced appearance of stretch marks and improved scar texture


Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Kahai Oil®: Clinically shown to visibly reduce scarring and discoloration.
-Vitamin C: Supports natural collagen production and cell renewal.
-Arnica Extract: Reduces redness and soothes skin.

Helianthus Annuus (Sunflower) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Oil, Prunus Armeniaca (Apricot) Kernel Oil, Linoleic Acid, Citrus Paradisi (Grapefruit) Seed Oil, Tocopherol (Vitamn E), Ascorbyl Tetraisopalmitate (Vitamin C), Arnica Montana (Arnica) Flower Extract, Calendula Ocinalis (Calendula) Flower, Rubus Idaeus (Raspberry) Seed Oil, Caryodendron Orinocense (Cacay) Seed Oil, Linolenic Acid, Parfum (Fragrance).

The list of ingredients is subject to change. Please consult the packaging of the product purchased.","Suggested Usage:
-Apply all over body and massage until absorbed.
-Focus on areas prone to stretch marks and uneven skin texture to firm and tone.
-For best results, use daily for three months using the expert massage technique.

Recycling Instructions:
-Remove cap and rinse empty bottle to ensure all product is removed.
-Cap and bottle are 100 percent recyclable."
P515497,AESTURA,ATOBARRIER365 Lightweight Face Lotion Moisturizer with Ceramides & Niacinamide for Skin Moisture Barrier Repair,Moisturizers,Face Creams,$32.00,Size: 5.07 oz / 150 mL,https://www.sephora.com/productimages/sku/s2844926-main-zoom.jpg?pb=allure-2024-bestofbeauty&imwidth=160,202,"Item 2844926
ONLY AT SEPHORA
What it is: A dermatologist-tested, lightweight lotion that support the skin barrier and deliver hydration.

Skin Type: Normal, Dry, Combination

Skincare Concerns: Dryness, Uneven Texture, and Oiliness

Formulation: Cream

Highlighted Ingredients:
- Patented Barrier-Boosting Ceramides Blend: Hydrate.
- Triple Lipid Complex: Ceramides, fatty acids, and cholesterol mimic skin lipids to lock in moisture.
- Niacinamide: Helps minimize moisture loss.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan and gluten-free.

What Else You Need to Know: AESTURA is the #1 derm-recommended brand in Korea for sensitive skin. This product has won the Allure Best of Beauty Award for best lightweight facial moisturizer.

ATOBARRIER365 Lotion is non-comedogenic, fragrance-free, alcohol-free, dermatologist-tested. It is recognized by the National Eczema Association with the Seal of Acceptance. 

Clinical Results: Instrumental results based on testing 31 women, after one application:
- Improves skin flakiness by +42%

Based off a self-assessment from clinical, 31 women, after four weeks of daily use:
- 93% agree skin feels healthier
- 90% agree skin's oil and moisture balance is restored
- 90% agree skin feels smoother

This product is an Allure Best of Beauty award winner.
Show less","-Patented Barrier-Boosting Ceramides Blend: Hydrate.
-Triple Lipid Complex: Ceramides, fatty acids, and cholesterol mimic skin lipids to lock in moisture.
-Niacinamide: Helps minimize moisture loss.

Water / Aqua / Eau, Butylene Glycol, Glycerin, Dimethicone, Squalane, Pentaerythrityl Tetraisostearate, Betaine, Polyglyceryl-3 Methylglucose Distearate, Butylene Glycol Dicaprylate/Dicaprate, Caprylic/Capric Triglyceride, Palmitic Acid, 1,2-Hexanediol, Stearic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glyceryl Stearate, Hydroxypropyl Bispalmitamide Mea, Glyceryl Stearate Citrate, Cholesterol, Niacinamide, Dimethiconol, Hydroxypropyl Bislauramide Mea, Behenyl Alcohol, Glyceryl Caprylate, Carbomer, Disodium Edta, Ethylhexylglycerin, Tromethamine, Sorbitan Isostearate, Phytosphingosine, Mannitol, Ceramide Np, Tocopherol, Hydrogenated Lecithin, Acrylates/Ammonium Methacrylate Copolymer, Silica, Sphingolipids, Arachidic Acid, Oleic Acid.","Suggested Usage:
-Apply evenly onto clean skin AM and PM.
-For ultimate hydration results, use with Atobarrier365 Hydro Cera-HA Serum."
P4010,Murad,AHA/BHA Exfoliating Cleanser,Cleansers,Face Wash & Cleansers,$37.00,Size: 5 oz / 147 ml,https://www.sephora.com/productimages/sku/s2835833-main-zoom.jpg?imwidth=160,818,"Item 2835833
What it is: An intensive, triple-action exfoliator with a custom blend of salicylic, lactic, and glycolic acids to polish away dry, dull-looking skin—without irritation.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dryness, Dullness, and Uneven Texture

Formulation: Cream

Highlighted Ingredients:
- Salicylic, Lactic, and Glycolic Acids: Gently exfoliate to reveal softer, smoother skin.
- Jojoba Beads: Manually exfoliate to remove dry, dull-looking skin.
- Licorice Extract: Soothes skin.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free and cruelty-free.

What Else You Need to Know: Enhance your cleansing routine with this multitasking exfoliant two to three times a week. It delivers the best of both worlds to your skin’s surface through chemical and physical exfoliation, without irritation, improving the penetration of the skincare formulas you apply next.
Show less","-Salicylic, Lactic, and Glycolic Acids: Gently exfoliate to reveal softer, smoother skin.
-Jojoba Beads: Manually exfoliate to remove dry, dull-looking skin.
-Licorice Extract: Soothes skin.

Water/Aqua/Eau, Sodium C14-16 Olefin Sulfonate, Jojoba Esters, Cocamidopropyl Betaine, Acrylates Copolymer, Glycol Stearate, Propanediol, Glycolic Acid, Lactic Acid, Salicylic Acid, Dipotassium Glycyrrhizate, Sodium Ascorbyl Phosphate, Sodium PCA, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Citric Acid, Sodium Hydroxide, Polyquaternium-4, Sodium Chloride, Tetrasodium Glutamate Diacetate, Tetrasodium EDTA, Leuconostoc/Radish Root Ferment Filtrate, Tocopherol, Ethylhexylglycerin, Chlorphenesin, Sodium Benzoate.","Suggested Usage:
-Use AM or PM.
-Massage a small amount over a dampened face and neck.
-Rinse and pat dry.
-For optimal results, use two to three times weekly."
P502662,Moroccanoil,Body Polishing Scrub,Bath & Shower,Scrub & Exfoliants,$32.00,,,,,,
P510836,PHLUR,Missing Person Body Oil,Body Moisturizers,Body Lotions & Body Oils,$45.00,Size: 4 oz,https://www.sephora.com/productimages/sku/s2766186-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,81,"Item 2766186
ONLY AT SEPHORA
A silky yet lightweight body oil infused with skin-mimicking lipids and floral oils that help contribute to a healthy-looking skin barrier.

Skincare Concerns: Dryness

Fragrance Family: Warm & Spicy

Scent Type: Warm & Sheer

Key Notes: Skin Musk, Bergamot Nectar, Blonde Wood

Highlighted Ingredients:
- Floral Oils: Naturally rich in ceramides, rosehip, paramela, and jojoba.
- Skin-Mimicking Lipids: Contribute to a healthy-looking skin barrier.
- Vitamin C Oil: Natural antioxidant known to visibly brighten overall skin tone.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance.

What Else You Need to Know: This body oil has a delicate, yet addictive fragrance that evokes the lingering scent of your lover’s skin. It is brought to life by comforting accords of white musk, enhanced by sheer floral nuances of jasmine, and glowing orange blossom and fused with a light trail of soft transparent woods. It’s naturally rich in ceramides and vitamin C oil and the formula easily absorbs easily into the skin to nourish and visibly brighten.

""Missing Person is more than just a fragrance; it's a heartfelt journey through love, loss, and longing. Crafted from my personal experience of rediscovering myself after separation, it encapsulates the comforting embrace of skin-to-skin contact and the lingering scent of a loved one's presence. It's a tribute to the warmth and intimacy we cherish, now bottled for you to experience and connect with those cherished memories."" - Chriselle Lim


Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Floral Oils: Naturally rich in ceramides, rosehip, paramela, and jojoba.
-Skin-Mimicking Lipids: Contribute to a healthy-looking skin barrier.
-Vitamin C Oil: Natural antioxidant known to visibly brighten overall skin tone.

Carthamus Tinctorius Seed Oil, Ricinus Communis Seed Oil, Caprylic/Capric Triglyceride, Fragrance (Parfum), Rosa Canina Fruit Oil, Adesmia Boronioides Flower/Leaf/Stem Oil, Simmondsia Chinensis Seed Oil, Limnanthes Alba Seed Oil, Squalane, Moringa Oleifera Seed Oil, Tetrahexyldecyl Ascorbate, Eclipta Prostrata Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Vegetable Oil, Curcuma Longa Root Extract, Melia Azadirachta Bark Extract, Corallina Officinalis Extract, Ocimum Sanctum Leaf Extract, Ocimum Basillicum Flower/Leaf Extract, Tocopherol, Linoleic Acid, Lecithin, Phytosteryl Canola Glycerides, Oleic Acid, Palmitic Acid, Stearic Acid, Triolein, Benzotriazolyl Dodecyl P-Cresol, Hydroxycitronellal.

The list of ingredients is subject to change, please consult the packaging of the product purchased.","Suggested Usage:
-Apply a generous amount on damp skin.
-Massage onto body until fully absorbed.
-Can be used before applying fragrance to boost scent longevity."
P440489,Mario Badescu,Glycolic Foaming Cleanser,Cleansers,Face Wash & Cleansers,$16.00,Size: 6 oz/ 177 mL,https://www.sephora.com/productimages/sku/s2185080-main-zoom.jpg?imwidth=160,67,"Item 2185080
What it is: A resurfacing face wash that refines the look of uneven skin tone and texture.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Uneven Skin Tone, Dullness and Uneven Texture, and Pores

Formulation: Gel

Highlighted Ingredients:
- Glycolic Acid: Retexturizes and refines the look of skin.
- Marshmallow Extract: Hydrates, softens, and balances.
- Chamomile: Known for its calming properties.

Ingredient Callouts: This product is vegan and cruelty-free.

What Else You Need to Know: Formulated with glycolic acid and a botanical blend of chamomile, marshmallow, sage, St. John’s wort, and yarrow extracts, Glycolic Foaming Cleanser is the brightening solution that thoroughly cleans pores, promotes radiance, and helps diminish the appearance of dry fine lines and uneven skin tone.
Show less","-Glycolic Acid: Retexturizes and refines the look of skin.
-Marshmallow Extract: Hydrates, softens, and balances.
-Chamomile: Known for its calming properties.

Sodium Lauryl Sulfate, Water, Cocamidopropyl Betaine, Cocamide MEA, Glycolic Acid, Salvia Officinalis (Sage) Leaf Extract, Hypericum Perforatum Extract, Chamomilla Recutita (Matricaria) Flower Extract, Althaea Officinalis Leaf/Root Extract, Achillea Millefolium Extract, Sodium Chloride, Fragrance, Propylene Glycol, Methylparaben, Propylparaben, Diazolidinyl Urea.","Suggested Usage:
-Not to be used as a daily face wash. Replace your regular cleanser one to three times a week (one to two times for dry to combination skin, and two to three times for combination and oily skin).
-Massage onto wet skin using upward, circular motions.
-Rinse thoroughly with warm water.
-Follow with a toner and moisturizer or night cream.

Precautions:
-Not recommended for use with topical prescriptions, acne-erupted, or sensitive skin.
-Avoid contact with the eyes. If contact occurs, rinse well with water.
-If irritation develops and persists, discontinue use.
-Sunburn Alert: This product contains an alpha hydroxy acid (AHA) that may increase your skin’s sensitivity to the sun and the possibility of sunburn. Use a sunscreen and limit sun exposure while using this product."
P504904,Topicals,"Like Butter Moisturizer for Dry, Sensitive & Eczema-Prone Skin",Moisturizers,Face Creams,$34.00,Size: 1.7 oz / 50 mL,https://www.sephora.com/productimages/sku/s2653475-main-zoom.jpg?imwidth=160,476,"Item 2653475
ONLY AT SEPHORA
What it is: A rich, hydrating moisturizer that helps to instantly soothe and calm redness, itch, sensitivity, and other symptoms of eczema-prone skin.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dryness, Redness, and Dullness

Formulation: Cream

Highlighted Ingredients:
- Colloidal Oatmeal 1%: Helps relieve eczema symptoms including irritation, redness, and itching.
- Madecassoside: Highly active form of centella asiatica helps soothe and calm sensitive skin.
- Green Tea: Antioxidant with skin-soothing properties.

Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: This turbo-charged daily moisturizer with OTC-level 1% colloidal oatmeal helps to instantly alleviate eczema flare-up symptoms including itch, rash, and dry patches. Richer and creamier than the Like Butter mask, it now comes with even more hydrating support for dry, sensitive, eczema-prone skin.

Show less","-Colloidal Oatmeal 1%: Helps relieve eczema symptoms including irritation, redness, and itching.
-Madecassoside: Highly active form of centella asiatica helps soothe and calm sensitive skin.
-Green Tea: Antioxidant with skin-soothing properties.

Water/Aqua/Eau, Caprylic/Capric Triglyceride, Squalane, Niacinamide, Cetearyl Alcohol, Glycerin, Pentylene Glycol, Capryloyl Glycerin/Sebacic Acid Copolymer, Glyceryl Stearate, Sorbitan Stearate, Diheptyl Succinate, Butyrospermum Parkii (Shea) Butter, Oenothera Biennis (Evening Primrose) Oil, Stearic Acid, Madecassoside, Angelica Polymorpha Sinensis Root Extract, Turkey Rhubarb (Rheum Palmatum) Extract, Camellia Sinensis Leaf Extract, Astragalus Membranaceus Extract, Curcuma Longa (Turmeric) Root Extract, Panax Ginseng Root Extract, Licorice Root (Glycyrrhiza Uralensis) Extract, Sodium Hyaluronate, Phytosphingosine, Sodium PCA, Ceramide EOP, Ceramide AP, Ceramide NP, Alanine, Serine, Aspartic Acid, Valine, Threonine, Proline, Arginine, Phenylalanine, Histidine, Palmitic Acid, Isoleucine, PCA, Lauroyl Lysine, Cholesterol, Sodium Lactate, Ethylhexylglycerin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetearyl Glucoside, Sodium Lauroyl Lactylate, Carbomer, Xanthan Gum, Phenoxyethanol.

.","Suggested Usage:
-Apply an even layer onto dry, itchy skin or eczema patches.
-Apply as needed, up to multiple times a day.
-Can be used as an all-over daily moisturizer or as a targeted treatment.
-Do not rinse off."
P475188,TULA Skincare,Instant De-Puff Eye Renewal Serum,Eye Care,Eye Creams & Treatments,$58.00,Size: 0.5 oz / 15 ml,https://www.sephora.com/productimages/sku/s2500775-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,82,"Item 2500775
What it is: A lightweight serum packed with potent ingredients, like probiotic extracts and peptides, to fight the look of dark circles and signs of aging.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Fine Lines and Wrinkles, Dark Circles, and Puffiness

Formulation: Lightweight Cream

Highlighted Ingredients:
- Probiotic Extracts: Support smooth, balanced skin.
- Prebiotics: Leave skin nourished and visibly balanced.
- Peptides: Visibly firm skin.

Ingredient Callouts: This product is gluten-free and cruelty-free.

What Else You Need to Know: Infused with pink silk tree and sea algae, this dermatologist-tested serum reduces the appearance of wrinkles, puffiness, and dark circles to reveal a visibly brighter, more even complexion. It also has a metal applicator that feels soothing against your skin.

Clinical Results: In a self-assessment of 32 subjects, after 6 weeks:
- 93% agreed under-eyes felt hydrated
- 87% agreed skin felt firmer
- 84% agreed under-eyes looked less puffy

Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Probiotic Extracts: Support smooth, balanced skin.
-Prebiotics: Leave skin nourished and visibly balanced.
-Peptides: Visibly firm skin.

Aqua/Water/Eau, Caprylic/Capric Triglyceride, Hydrogenated Ethylhexyl Olivate, Glycerin, Butylene Glycol, Cetearyl Alcohol, Lactococcus Ferment Lysate, Sodium Potassium Aluminum Silicate, Carthamus Tinctorius (Safflower) Seed Oil, Camelina Sativa Seed Oil, Silybum Marianum Seed Oil, Curcuma Longa (Turmeric) Root Extract, Citrus Aurantium Dulcis (Orange) Peel Extract, Albizia Julibrissin Bark Extract, Avena Sativa (Oat) Bran Extract, Camellia Sinensis Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Cichorium Intybus (Chicory) Root Extract, Porphyra Umbilicalis Extract, Nannochloropsis Oculata Extract, Bacillus Ferment, Olus Oil/Vegetable Oil/Huile Végétale, Hydrogenated Olive Oil Unsaponifiables, Acetyl Hexapeptide-8, Lactic Acid, Yogurt Powder, Hydrolyzed Rice Protein, Tocopheryl Acetate, Ascorbyl Palmitate, Darutoside, Ammonium Acryloyldimethyltaurate/VP Copolymer, Silica, Xanthan Gum, Inulin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Hydroxide, Citric Acid, Sodium Chloride, Sodium. May contain milk proteins.

The list of ingredients is subject to change, please consult the packaging of the product purchased.","Suggested Usage:
-Use the cooling tip applicator to gently apply under the eye, sweeping upward and over the eyelid.
-Use morning and evening."
