
P506027,Dr. Dennis Gross Skincare,All-Physical Ultimate Defense Broad Spectrum Sunscreen SPF 50 PA++++,Sunscreen,Face Sunscreen,$42.00,Size: 1.7 oz / 50 ml,https://www.sephora.com/productimages/sku/s2667152-main-zoom.jpg?imwidth=160,109,"Item 2667152
What it is: An all-physical, oil-free, and sweat- and water-resistant mineral sunscreen with a blendable, lightweight finish.
Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Fine Lines and Wrinkles, and Dryness

Highlighted Ingredients:
- Zinc Oxide (Non-Nano): A mineral filter that scatters, reflects, and absorbs UVA and UVB rays to help protect skin from the sun.
- Tranexamic Acid: Reduces the appearance of dark spots and prevents new ones from forming while visibly improving overall skin tone.
- Hydrating Complex: A combination of three powerful humectants, including hyaluronic acid, replenishes internal hydration and helps plump the look of dehydrated fine lines.

Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: Discover a powerful sunscreen that prevents sun damage throughout frequent and high sun exposure, while also hydrating skin and reducing uneven skin tone. Water- and sweat-resistant, this high-performance formula is able to keep up with your active lifestyle, protect you from the sun, and prevent visible signs of sun aging: dark spots, uneven skin tone, and fine lines and wrinkles.

Show less","-Zinc Oxide (Non-Nano): A mineral filter that scatters, reflects, and absorbs UVA and UVB rays to help protect skin from the sun.
-Tranexamic Acid: Reduces the appearance of dark spots and prevents new ones from forming while visibly improving overall skin tone.
-Hydrating Complex: A combination of three powerful humectants, including hyaluronic acid, replenishes internal hydration and helps plump the look of dehydrated fine lines.

Active ingredient: Zinc Oxide 18%.

Inactive Ingredients: Water/Aqua/Eau, Caprylic/Capric Triglyceride, Dimethicone, Dicaprylyl Carbonate, Coco-Caprylate/Caprate, Butyloctyl Salicylate, Propanediol, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Polyhydroxystearic Acid, Polymethylsilsesquioxane, Tranexamic Acid, Aloe Barbadensis Leaf Juice, Hibiscus Sabdariffa Flower Extract, Pongamia Pinnata Seed Extract, Saccharide Isomerate, Sodium Hyaluronate, Ethylhexylglycerin, Dimethicone/ Polyglycerin-3 Crosspolymer, Magnesium Hydroxide, Triethoxycaprylylsilane, Magnesium Sulfate, Disteardimonium Hectorite, Sodium Chloride, Triethyl Citrate, Sodium Citrate, Tetrasodium Glutamate Diacetate, Phenoxyethanol, Potassium Sorbate.

.","Suggested Usage:
-Use daily in the morning as the final step in your skincare routine, after moisturizer.
-Massage a generous amount all over the face, neck, and décolleté 15 minutes before sun exposure until visible formula fully melts into skin.
-Reapply every two hours.
-For children under 6 months of age, consult a doctor."
P429515,Drunk Elephant,C-Tango™ Vitamin C Eye Cream,Eye Care,Eye Creams & Treatments,$64.00,Size: 0.5 oz/ 15 mL,https://www.sephora.com/productimages/sku/s2062081-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,1.6K,"Item 2062081
What it is: A rich and restorative eye cream featuring eight peptides, five forms of vitamin C, and cucumber extract for firmer-, brighter-looking skin.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity

Formulation: Cream

Highlighted Ingredients:
- Power 5C Vitamin Complex: Five forms of vitamin C work together to brighten the look of uneven tone and visibly firm the skin. Paired with peptides and antioxidants like vitamin E and superoxide dismutase, this complex offers unparalleled defense against damaging UV rays, pollution, and other free radicals.
- Eight-Peptide Blend: Rebuilds, strengthens, and improves the appearance of fine lines and wrinkles.
- Cucumber: An antioxidant-rich, non-sensitizing plant extract.

Ingredient Callouts: This product is vegan and cruelty-free.

What Else You Need to Know: C-Tango™ is a dance of potent antioxidants, replenishing ceramides, plant oils, and soothing actives. All are designed to refresh and restore a radiant appearance. This formula is gentle enough for AM and PM use, but powerful enough to improve even stubborn signs of damage. This eye cream is free of essential oils, silicones, and fragrance, and is dermatologist tested.

Drunk Elephant is committed to using only ingredients that either directly benefit the health of the skin or support the integrity of their formulations. The brand focuses on healthy pH levels, formulations the skin recognizes, small molecular structure that’s easily absorbed, and effective active ingredients that also support the skin’s acid mantle. All of their products are designed to be mixed together—what Drunk Elephant calls making a smoothie. (This is true for all of their products except their sunscreen, Umbra, which sits on top of the skin, protecting it from UV damage.) The result is skin that is reset to its happiest, healthiest state.

Drunk Elephant is a supporter of IEF (International Elephant Foundation) and is cruelty-free

Clinical Results:
In a consumer-perception study with 31 people after 8 weeks:
- 96% agreed skin felt hydrated
-84% agreed skin felt smoother and tone looked more even
-81% agreed their eye area felt firmer

Clean at Sephora
Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Power 5C Vitamin Complex: Five forms of vitamin C work together to brighten the look of uneven tone and visibly firm the skin. Paired with peptides and antioxidants like vitamin E and superoxide dismutase, this complex offers unparalleled defense against damaging UV rays, pollution, and other free radicals.
-Eight-Peptide Blend: Rebuilds, strengthens, and improves the appearance of fine lines and wrinkles.
-Cucumber: An antioxidant-rich, non-sensitizing plant extract.

Water, Glycerin, Dicaprylyl Carbonate, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Ascorbyl Phosphate, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Persea Gratissima (Avocado) Oil, Plukenetia Volubilis Seed Oil, Magnesium Ascorbyl Phosphate, Ceteareth-6 Olivate, Tetrahexyldecyl Ascorbate, Ascorbyl Glucoside, Ascorbyl Palmitate, Palmitoyl Tripeptide-1, Glycine Soja (Soybean) Sterols, Linoleic Acid, Phospholipids, Ceramide NP, Glycine Soja (Soybean) Protein, Ceramide AP, Phytosphingosine, Cholesterol, Ceramide EOP, Cucumis Sativus (Cucumber) Fruit Extract, Camellia Sinensis Leaf Extract, Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine, Palmitoyl Dipeptide-5 Diaminohydroxybutyrate, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Sodium Hyaluronate Crosspolymer, C12-15 Alkyl Benzoate, Panthenol, Dipotassium Glycyrrhizate, Hesperidin Methyl Chalcone, Dipeptide-2, Palmitoyl Tetrapeptide-7, Fragaria Ananassa (Strawberry) Seed Extract, Medicago Sativa (Alfalfa) Extract, Morus Alba Leaf Extract, Hydrolyzed Rice Protein, Spilanthes Acmella Flower Extract, Aloe Barbadensis Leaf Juice, Ubiquinone, Superoxide Dismutase, Palmitoyl Tripeptide-38, Acetyl Hexapeptide-8, Pyrus Malus (Apple) Fruit Extract, Phytic Acid, Actinidia Chinensis (Kiwi) Fruit Extract, Vaccinium Myrtillus Leaf Extract, Tocopherol, Thioctic Acid, N-Hydroxysuccinimide, Chrysin, Mica, Ethylhexyl Palmitate, Phenoxyethanol, Pentylene Glycol, Sodium Lauroyl Lactylate, Titanium Dioxide, Hydroxypropyl Cyclodextrin, Sodium Benzoate, Xanthan Gum, Carbomer, Tocopheryl Acetate, Sodium Dextran Sulfate, Sorbitan Isostearate, Caprylyl Glycol, Steareth-20, Chlorhexidine Digluconate, Citric Acid, Chlorphenesin, Polysorbate 60, Potassium Sorbate, Ethylhexylglycerin.



The list of ingredients is subject to change, please consult the packaging of the product purchased.","Suggested Usage:
-Gently pat a pump of C-Tango™ around the eye area using your ring finger.
-May be mixed with Shaba Complex™ Firming Eye Serum (sold separately).

Beauty tip:
-Leave C-Tango™ in the fridge for a cooling, soothing treat."
P515327,Lux Unfiltered,Mini Golden Hour Self Tanning Intro Kit,Value & Gift Sets,,$32.00,,,,,,
P515192,The INKEY List,"Hydrated Base, Flawless Face Set",Value & Gift Sets,,$17.00,,,,,,
P516115,Jo Malone London,Frangipani Cologne Home & Away Mini Duo Set,Value & Gift Sets,Cologne Gift Sets,$90.00,,,,,,
P483060,Clarins,Lip Comfort Hydrating Oil,Lip Balms & Treatments,,$30.00,Color: Iconic Red - sheer cool red,https://www.sephora.com/productimages/sku/s2849933-main-zoom.jpg?imwidth=160,911,"Item 2849933
LIMITED EDITION
What it is: A cocktail of unique oils that delivers thirst-quenching hydration, nourishment, protection, and visible repair for soothed, moisturized lips.

Highlighted Ingredients:
- Jojoba: Nourishes skin without a greasy feel.
- Hazelnut: Nourishes skin and protects against dehydration.
- Sweetbriar Rose: Nourishes and comforts skin.

Ingredient Callouts: Free of parabens, phthalates, mineral oil, oxybenzone, sulfates SLS & SLES, triclocarban, and triclosan.

What Else You Need to Know: Formulated with 93 percent natural-origin ingredients, including responsibly harvested plant oils, Lip Comfort Oil’s texture is rich and lightweight, never sticky. It forms a thin, protective veil that feels nearly invisible—and looks truly beautiful—on your lips.

Clinical Results: In a 14-day satisfaction test of 106 women:
- 98% said their lips were beautified after application
- 85% said they woke up to nourished lips after using it as a night mask

This product is an Allure Best of Beauty award winner.

This product is an Allure Best of Beauty award winner.
Show less","-Sweetbriar Rose Oil: Nourishes and comforts lips for a cocooned, protected feel.
-Jojoba Oil: Has a luxurious, silky texture that melts into lips.
-Hazelnut Oil: Hydrates, nourishes, and softens lips.

Polyglyceryl-2 Isostearate/Dimer Dilinoleate Copolymer, Simmondsia Chinensis (Jojoba) Seed Oil, Dilinoleic Acid/Butanediol Copolymer, Rosa Rubiginosa Seed Oil, Caprylic/Capric Triglyceride, Corylus Avellana (Hazel) Seed Oil, Diisostearyl Malate, Castor Oil/IPDI Copolymer, Tocopheryl Acetate, Parfum/Fragrance, Vanillin, CI 15985/Yellow 6 Lake, CI 17200/Red 33 Lake, CI 15850/Red 7 Lake, CI 45410/Red 27.","Suggested Usage:
-Apply directly to lips with the applicator for soft, precise results.
-To wake up to beautiful-looking lips, apply before bed (after removing all traces of makeup)."
P506468,Caudalie,Vinopure Color Correcting Spot Solution with Salicylic Acid,Treatments,Blemish & Acne Treatments,$25.00,Size: .5 oz / 15 ml,https://www.sephora.com/productimages/sku/s2671766-main-zoom.jpg?pb=clean-planet-aware&imwidth=160,251,"Item 2671766
What it is: A targeted cream for imperfections powered by Natural Salicylic Acid, Tea Tree and Niacinamide to visibly reduce breakout size in as little as 4 hours. 

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Pores, Acne and Blemishes, and Oiliness

Highlighted Ingredients:
- 100% Natural Salicylic Acid: Naturally exfoliates and visibly refines skin texture.
- Niacinamide: Minimizes the appearance of pores.
- Tea Tree: Purifies the skin.

Ingredient Callouts: This product is vegan, gluten-free, and cruelty-free.

What Else You Need to Know: A natural and non-drying purifying cream that targets acne spots fast and reduce breakout size. Use this leave-on cream under makeup to color correct redness with natural green pigments.

Clinical Results:
Imperfections visibly reduced after 4 hours* *Clinical study, self-scoring, 22 volunteers


Products formulated without certain ingredients, including parabens, sulfates, phthalates, and mineral oils, from brands that have met our specific criteria for ingredient sourcing and formulation, packaging, environmental commitments, and consumer transparency. Learn more here.
Show less","-100% Natural Salicylic Acid: Naturally exfoliates and visibly refines skin texture.
-Niacinamide: Minimizes the appearance of pores.
-Tea Tree: Purifies the skin.

Aqua/Water/Eau, Glycerin, Alcohol Denat., Microcrystalline Cellulose, Coco-Caprylate/Caprate, Glyceryl Stearate Se, Bentonite, Niacinamide, Glyceryl Stearate Citrate, Palmitoyl Grape Seed Extract, Acacia Senegal Gum, Arginine, Salicylic Acid, Xanthan Gum, Glyceryl Stearate, Pelargonium Graveolens Flower Oil, Mentha Piperita (Peppermint) Oil, Citral, Cymbopogon Citratus Leaf Oil, Melaleuca Alternifolia Leaf Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Citronellol, Ci 77492 (Iron Oxides), Geraniol, Linalool, Lavandula Hybrida Oil, Maltodextrin, Melissa Officinalis Leaf Oil, Hydrolyzed Gardenia Florida Extract, Sodium Citrate, Limonene.

.

The list of ingredients is subject to change, please consult the packaging of the product purchased.","Suggested Usage:
-Dot product onto clean skin and let dry—do not rinse.
-Can be used underneath makeup to reduce redness and at night as a treatment.
Recycling Instructions:
Remove cap and recycle the aluminum tube where facilities exist. Aluminum tube is infinitely recyclable."
P512978,ISDIN,Uradin Lotion 10 Hydrating Body Lotion for Dry Skin,Body Moisturizers,Body Lotions & Body Oils,$42.00,Size: 13.5 oz / 400 ml,https://www.sephora.com/productimages/sku/s2817625-main-zoom.jpg?imwidth=160,202,"Item 2817625
What it is: A fast-absorbing, dermatologist-tested body lotion that smooths skin naturally and provides long-lasting moisture.

Skincare Concerns: Dryness, Uneven Texture, and Loss of Firmness and Elasticity

Fragrance Description: This unique formula works to replenish and retain moisture in the skin. A blend of emollients supports the skin's natural moisture barrier, while dexpanthenol hydrates and soothes. It also contains a pleasant unisex fragrance.

Highlighted Ingredients:
- 10% ISDIN Urea: Retains water in the skin to promote optimal hydration.
- Emollients: Help to nourish the skin’s natural moisture barrier.
- 3% Dexpanthenol: Hydrates.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, and triclosan.

What Else You Need to Know: This nourishing formula provides 24-hour moisture and helps to reestablish optimal levels of hydration in the skin. The ideal body lotion for dry or very dry skin, it also works to relieve any associated itching without feeling heavy or greasy.
Show less","-10% ISDIN Urea: Retains water in the skin to promote optimal hydration.
-Emollients: Help to nourish the skin’s natural moisture barrier.
-3% Dexpanthenol: Hydrates.

Aqua (Water), Urea, Cetearyl Ethylhexanoate, Panthenol, Glyceryl Stearate, PEG-40 Stearate, Glycerin, Dimethicone, Persea Gratissima (Avocado) Oil, Shorea Stenoptera Seed Butter, Phenoxyethanol, Cetyl Alcohol, Octyldodecanol, Carbomer, Palmitic Acid, Stearic Acid, Disodium EDTA, Ethyhexylglycerin, Parfum (Fragrance), Sodium Hydroxide, BHT, Lactic Acid, Limonene, Hexyl Cinnamal, Alpha-Isomethyl Ionone, Linalool, Benzyl Salicylate, Eugenol, Citral, Hydroxycitronellal, Coumarin.","Suggested Usage:
-Apply Uradin Lotion 10 body lotion once or twice a day, massaging into the skin until completely absorbed."
P509334,Iris&Romeo,The Reset Luminous Hyaluronic Acid & Niacinamide Serum Spray,Moisturizers,Mists & Essences,$45.00,Size: 3.39 oz,https://www.sephora.com/productimages/sku/s2745107-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,185,"Item 2745107
ONLY AT SEPHORA
What it is: A 3-in-1 serum spray, moisturizer, and luminizer—in one step—that hydrates, plumps, and soothes for a healthy moisture barrier & sophisticated glow.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dryness, Dullness, and Uneven Texture

Formulation: Spray

Highlighted Ingredients:
- Hyaluronic Acid: Has four molecular weights that penetrate, lock in moisture, and plump the look of fine lines.
- Niacinamide: Reduces redness, calms skin, smooths texture, and visibly evens skin tone.
- Ceramides: Replenishes moisture barrier and rebuilds bouncy, plump-looking skin.

Ingredient Callouts: It is cruelty-free, vegan, and comes in recyclable packaging.

What Else You Need to Know: This is a one-step skincare routine in the morning, before bed, and a go-to refresher whenever your skin needs it. The spray-on serum packs 10 percent active ingredients for lightweight, intense hydration, moisture barrier support, and improved texture—all with a luminous, soft glow.

Clinical Results: In a consumer study with 75 women ages 26-64, after using the product for 28 days:
- 91% agreed skin felt soothed
- 89% agreeed skin looked brighter
- 88% agreed skin felt more hydrated

Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Hyaluronic Acid: Has four molecular weights that penetrate, lock in moisture, and plump the look of fine lines.
-Niacinamide: Reduces redness, calms skin, smooths texture, and visibly evens skin tone.
-Ceramides: Replenishes moisture barrier and rebuilds bouncy-, plump-looking skin.

Water/Aqua/Eau, Glycerin, Argania Spinosa Kernel Extract, Isopentyldiol, 1,2-Hexanediol, Propanediol, Betaine, Hydrogenated Lecithin, Panthenol, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Triethyl Citrate, Niacinamide, Sodium Olivate, Sodium Lactate, Sodium Pca, Rosa Damascena Extract, Potassium Sorbate, Sodium Benzoate, Artemisia Capillaris Flower Extract, Citrus Aurantium Dulcis (Orange) Peel Extract, Pentylene Glycol, Citrus Limon (Lemon) Peel Extract, Citrus Nobilis (Mandarin Orange) Fruit Extract, Pelargonium Graveolens Extract, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Triolein, Sodium Hyaluronate Crosspolymer, Ceramide Np, Glyceryl Dioleate, Hydrolyzed Sodium Hyaluronate, Ethylhexylglycerin, Citronellol, Limonene.

The list of ingredients is subject to change, please consult the packaging of the product purchased.","Suggested Usage:
-Mist 12 inches from face after cleansing and before makeup application in the morning, and after cleansing and before moisturizer to lock in hydration in the evening.
-Use throughout the day to replenish hydration, luminosity, and refresh makeup whenever your skin needs it.
-Can also be used on décolleté, shoulders, and hair.
-For best results, use four to five sprays twice a day.

Recycling Instructions:
-Separate pump and cap from glass bottle, rinse glass bottle, and recycle individual pieces.
-Pump made of 30 percent recycled plastic.
-Recycle box, made of 100 percent post-consumer recycled paper and printed with soy-based inks."
P39274,,,,,,,,,,,
